953.4040,904.0993,-9.0000,-8.0000
904.9681,904.9329,-8.0000,-8.0000
857.0136,906.0102,-7.0000,-8.0000
808.2509,906.7003,-6.0000,-8.0000
760.1315,907.6159,-5.0000,-8.0000
711.1100,908.4021,-4.0000,-8.0000
662.2761,909.2963,-3.0000,-8.0000
612.6478,910.0698,-2.0000,-8.0000
563.1704,910.7170,-1.0000,-8.0000
513.7492,911.7987,0.0000,-8.0000
464.0032,912.9590,1.0000,-8.0000
414.0769,914.2436,2.0000,-8.0000
363.4434,915.1133,3.0000,-8.0000
313.4473,916.1981,4.0000,-8.0000
262.8758,917.0901,5.0000,-8.0000
212.6552,918.0972,6.0000,-8.0000
161.2427,919.1374,7.0000,-8.0000
110.0277,920.1911,8.0000,-8.0000
953.0186,850.5745,-9.0000,-7.0000
905.0203,851.4223,-8.0000,-7.0000
856.8746,851.9687,-7.0000,-7.0000
808.5805,853.0201,-6.0000,-7.0000
759.3367,853.6970,-5.0000,-7.0000
711.3133,854.5033,-4.0000,-7.0000
661.5369,855.1007,-3.0000,-7.0000
612.4256,856.0565,-2.0000,-7.0000
563.1700,856.6167,-1.0000,-7.0000
513.4401,857.3443,0.0000,-7.0000
463.8997,858.3545,1.0000,-7.0000
413.6925,859.3134,2.0000,-7.0000
363.7710,860.5032,3.0000,-7.0000
312.6352,861.4057,4.0000,-7.0000
263.2643,862.3514,5.0000,-7.0000
211.9030,863.0152,6.0000,-7.0000
161.1075,864.2366,7.0000,-7.0000
109.9041,865.0116,8.0000,-7.0000
953.0863,797.5899,-9.0000,-6.0000
905.0036,797.6022,-8.0000,-6.0000
856.8380,798.8275,-7.0000,-6.0000
808.4343,799.1971,-6.0000,-6.0000
759.5815,799.7222,-5.0000,-6.0000
711.3286,800.3714,-4.0000,-6.0000
661.8476,801.0743,-3.0000,-6.0000
612.7324,802.1137,-2.0000,-6.0000
563.0036,802.1151,-1.0000,-6.0000
513.4965,803.2923,0.0000,-6.0000
463.9422,803.5343,1.0000,-6.0000
413.7118,804.9826,2.0000,-6.0000
363.6761,805.7641,3.0000,-6.0000
312.8953,806.4838,4.0000,-6.0000
263.1914,807.6469,5.0000,-6.0000
212.1512,808.3643,6.0000,-6.0000
161.3142,809.6375,7.0000,-6.0000
109.8612,809.6467,8.0000,-6.0000
952.9490,743.5646,-9.0000,-5.0000
904.9717,744.6890,-8.0000,-5.0000
856.9189,744.6892,-7.0000,-5.0000
808.1277,745.4051,-6.0000,-5.0000
759.2386,745.9684,-5.0000,-5.0000
710.9822,746.4306,-4.0000,-5.0000
661.5286,747.0321,-3.0000,-5.0000
612.1923,747.2622,-2.0000,-5.0000
562.9713,748.3907,-1.0000,-5.0000
513.2308,748.5987,0.0000,-5.0000
463.8339,749.7993,1.0000,-5.0000
413.6775,750.1661,2.0000,-5.0000
363.3018,750.9333,3.0000,-5.0000
312.5918,751.7245,4.0000,-5.0000
262.8125,752.2895,5.0000,-5.0000
211.9311,752.9770,6.0000,-5.0000
160.8455,753.7242,7.0000,-5.0000
109.7267,754.9503,8.0000,-5.0000
952.8849,691.1978,-9.0000,-4.0000
904.7842,691.0863,-8.0000,-4.0000
856.5993,692.1525,-7.0000,-4.0000
808.3646,692.2347,-6.0000,-4.0000
759.8172,692.4229,-5.0000,-4.0000
711.1673,693.1068,-4.0000,-4.0000
661.7283,693.4906,-3.0000,-4.0000
612.4949,694.4102,-2.0000,-4.0000
562.9114,694.3100,-1.0000,-4.0000
513.3206,695.3275,0.0000,-4.0000
463.6726,695.2100,1.0000,-4.0000
413.6132,696.4321,2.0000,-4.0000
363.5072,696.9892,3.0000,-4.0000
312.7256,697.5704,4.0000,-4.0000
263.0203,698.3784,5.0000,-4.0000
212.0000,699.0772,6.0000,-4.0000
161.1261,700.1051,7.0000,-4.0000
109.6246,699.9748,8.0000,-4.0000
952.9155,637.3953,-9.0000,-3.0000
904.7063,638.0804,-8.0000,-3.0000
856.6164,638.0822,-7.0000,-3.0000
808.1564,638.5273,-6.0000,-3.0000
759.2050,638.9532,-5.0000,-3.0000
710.8065,639.1290,-4.0000,-3.0000
661.5321,639.6464,-3.0000,-3.0000
612.2233,639.7300,-2.0000,-3.0000
562.9386,640.5235,-1.0000,-3.0000
513.3422,640.5615,0.0000,-3.0000
463.7282,641.6167,1.0000,-3.0000
413.6098,641.6754,2.0000,-3.0000
363.2662,642.5072,3.0000,-3.0000
312.5172,642.9241,4.0000,-3.0000
262.7816,643.5290,5.0000,-3.0000
211.7024,643.8339,6.0000,-3.0000
160.7699,644.3466,7.0000,-3.0000
109.5968,645.3746,8.0000,-3.0000
952.7792,584.1721,-9.0000,-2.0000
904.8160,584.1771,-8.0000,-2.0000
856.4689,584.7213,-7.0000,-2.0000
808.4175,584.6599,-6.0000,-2.0000
759.1986,584.9397,-5.0000,-2.0000
711.1075,585.1498,-4.0000,-2.0000
661.4488,585.5830,-3.0000,-2.0000
612.3415,585.8462,-2.0000,-2.0000
562.8905,586.0035,-1.0000,-2.0000
513.0951,586.5344,0.0000,-2.0000
463.5119,586.7051,1.0000,-2.0000
413.5531,587.2830,2.0000,-2.0000
363.4412,587.7092,3.0000,-2.0000
312.5085,588.2355,4.0000,-2.0000
263.0926,588.6111,5.0000,-2.0000
211.6107,589.1107,6.0000,-2.0000
161.0223,589.6936,7.0000,-2.0000
109.4177,589.8259,8.0000,-2.0000
952.8403,530.9722,-9.0000,-1.0000
904.8366,531.0882,-8.0000,-1.0000
856.5868,531.3194,-7.0000,-1.0000
808.0552,531.0931,-6.0000,-1.0000
